"Bug ID","Version"
612228,"Trunk"
612242,"unspecified"
612812,"Trunk"
612853,"Trunk"
612854,"Trunk"
613259,"Trunk"
613580,"Trunk"
613822,"unspecified"
613913,"4.0 Branch"
613914,"4.0 Branch"
613983,"3.6 Branch"
614041,"4.0 Branch"
614197,"Trunk"
614473,"unspecified"
614517,"Trunk"
614897,"4.0 Branch"
614932,"Trunk"
615038,"4.0 Branch"
615050,"3.6 Branch"
615071,"3.6 Branch"
615103,"4.0 Branch"
615588,"4.0 Branch"
616095,"4.0 Branch"
616116,"4.0 Branch"
616331,"3.5 Branch"
616853,"unspecified"
616938,"3.6 Branch"
617309,"4.0 Branch"
618580,"4.0 Branch"
618636,"Trunk"
618791,"Trunk"
619472,"Trunk"
619699,"4.0 Branch"
621178,"4.0 Branch"
621244,"Trunk"
621459,"unspecified"
622359,"unspecified"
622901,"unspecified"
623587,"unspecified"
623803,"4.0 Branch"
623858,"unspecified"
623866,"unspecified"
623966,"6 Branch"
623994,"Trunk"
624595,"Trunk"
624632,"4.0 Branch"
624661,"Trunk"
624991,"Trunk"
625369,"Trunk"
625398,"unspecified"
625470,"Trunk"
625912,"Trunk"
626074,"unspecified"
626090,"Trunk"
626098,"4.0 Branch"
626184,"unspecified"
626211,"unspecified"
626390,"unspecified"
626485,"4.0 Branch"
626553,"3.6 Branch"
626556,"4.0 Branch"
626860,"unspecified"
626920,"4.0 Branch"
626934,"Trunk"
627043,"unspecified"
627895,"3.6 Branch"
628291,"unspecified"
628438,"4.0 Branch"
628742,"Trunk"
628743,"Trunk"
628820,"4.0 Branch"
628891,"4.0 Branch"
629765,"4.0 Branch"
630483,"unspecified"
630495,"Trunk"
630614,"Trunk"
630807,"4.0 Branch"
630874,"Trunk"
631013,"unspecified"
631551,"4.0 Branch"
632034,"Trunk"
632077,"unspecified"
632081,"4.0 Branch"
632375,"4.0 Branch"
632483,"4.0 Branch"
633114,"4.0 Branch"
633268,"3.6 Branch"
633659,"unspecified"
633691,"Trunk"
633696,"Trunk"
633700,"4.0 Branch"
635116,"4.0 Branch"
635152,"unspecified"
635163,"unspecified"
635803,"Trunk"
636683,"unspecified"
638039,"4.0 Branch"
638300,"unspecified"
638554,"Trunk"
638572,"Trunk"
638828,"Trunk"
639262,"unspecified"
639321,"unspecified"
640495,"unspecified"
640498,"4.0 Branch"
641008,"6 Branch"
642675,"unspecified"
644353,"Trunk"
644594,"Trunk"
645305,"Trunk"
645649,"Trunk"
645700,"Trunk"
645795,"3.6 Branch"
645983,"4.0 Branch"
646146,"4.0 Branch"
646401,"4.0 Branch"
647162,"unspecified"
648279,"unspecified"
648360,"4.0 Branch"
648542,"3.6 Branch"
648706,"unspecified"
648864,"14 Branch"
649227,"4.0 Branch"
649321,"unspecified"
649671,"Trunk"
649962,"4.0 Branch"
650485,"4.0 Branch"
650561,"Trunk"
650631,"unspecified"
650713,"Trunk"
651122,"Trunk"
651185,"unspecified"
651799,"50 Branch"
653588,"4.0 Branch"
653908,"Trunk"
656348,"4.0 Branch"
656667,"4.0 Branch"
656814,"4.0 Branch"
657442,"unspecified"
657706,"3.6 Branch"
658174,"4.0 Branch"
658986,"4.0 Branch"
659146,"4.0 Branch"
659407,"Trunk"
659629,"Trunk"
660767,"4.0 Branch"
661783,"3.6 Branch"
662866,"4.0 Branch"
662917,"4.0 Branch"
664756,"unspecified"
666141,"unspecified"
666544,"unspecified"
667340,"Trunk"
668577,"Trunk"
670598,"7 Branch"
670849,"Trunk"
671741,"5 Branch"
672604,"3.6 Branch"
672607,"unspecified"
673320,"5 Branch"
674215,"6 Branch"
675440,"Trunk"
675498,"5 Branch"
675892,"5 Branch"
675900,"Trunk"
676552,"unspecified"
676995,"unspecified"
677372,"unspecified"
677631,"5 Branch"
678208,"3.6 Branch"
678716,"Trunk"
678831,"5 Branch"
680090,"6 Branch"
682414,"Trunk"
682708,"Trunk"
684450,"Trunk"
685175,"6 Branch"
686198,"unspecified"
687386,"unspecified"
687423,"unspecified"
688637,"8 Branch"
689597,"Trunk"
690815,"unspecified"
691218,"unspecified"
692112,"7 Branch"
692414,"unspecified"
692574,"unspecified"
692729,"Trunk"
696103,"9 Branch"
696522,"unspecified"
697591,"7 Branch"
698409,"8 Branch"
698428,"7 Branch"
699479,"8 Branch"
700015,"Trunk"
700908,"8 Branch"
701286,"10 Branch"
701603,"7 Branch"
701733,"Trunk"
701999,"8 Branch"
702000,"Trunk"
702065,"3.6 Branch"
704100,"11 Branch"
704256,"8 Branch"
704657,"unspecified"
706686,"8 Branch"
706773,"8 Branch"
706988,"unspecified"
707321,"Trunk"
707961,"9 Branch"
708293,"Trunk"
710282,"8 Branch"
710880,"9 Branch"
712132,"10 Branch"
712311,"9 Branch"
712452,"Trunk"
712620,"Trunk"
712713,"9 Branch"
713126,"12 Branch"
713394,"Trunk"
714712,"12 Branch"
715909,"9 Branch"
717427,"Trunk"
717752,"Trunk"
717867,"unspecified"
718307,"Trunk"
719423,"Trunk"
719746,"unspecified"
721740,"Trunk"
722150,"9 Branch"
722829,"12 Branch"
723405,"Trunk"
723818,"Trunk"
724396,"Trunk"
724547,"Trunk"
724576,"10 Branch"
725589,"unspecified"
726525,"10 Branch"
727131,"Trunk"
729372,"Trunk"
729475,"10 Branch"
730829,"Trunk"
734326,"Trunk"
734410,"11 Branch"
736266,"Trunk"
737358,"13 Branch"
737804,"unspecified"
738818,"Trunk"
738887,"13 Branch"
739086,"11 Branch"
739107,"48 Branch"
739580,"14 Branch"
740213,"Trunk"
741802,"Trunk"
742020,"Trunk"
744109,"unspecified"
744302,"unspecified"
744659,"13 Branch"
745467,"11 Branch"
747612,"unspecified"
750054,"unspecified"
750544,"Trunk"
750658,"15 Branch"
750664,"15 Branch"
752136,"unspecified"
752197,"unspecified"
752634,"17 Branch"
754045,"12 Branch"
754623,"Trunk"
755113,"unspecified"
756809,"unspecified"
758145,"14 Branch"
759596,"Trunk"
759614,"12 Branch"
759967,"14 Branch"
760657,"Trunk"
761002,"13 Branch"
763680,"Trunk"
763806,"unspecified"
764520,"13 Branch"
764720,"21 Branch"
764869,"Trunk"
765389,"Trunk"
766086,"Trunk"
766464,"16 Branch"
767221,"unspecified"
767267,"13 Branch"
767440,"13 Branch"
767773,"13 Branch"
767828,"Trunk"
767960,"unspecified"
771205,"unspecified"
771630,"13 Branch"
772815,"unspecified"
774163,"13 Branch"
774539,"unspecified"
775114,"unspecified"
775191,"14 Branch"
775242,"14 Branch"
776169,"14 Branch"
776303,"14 Branch"
776324,"unspecified"
779489,"16 Branch"
780859,"unspecified"
782743,"Trunk"
782944,"unspecified"
783142,"Trunk"
783247,"14 Branch"
783401,"13 Branch"
783929,"15 Branch"
785540,"Trunk"
785591,"17 Branch"
786674,"Trunk"
786692,"48 Branch"
786938,"unspecified"
787767,"Trunk"
788060,"unspecified"
788465,"17 Branch"
788951,"unspecified"
789141,"unspecified"
790200,"Trunk"
791092,"Trunk"
791421,"Trunk"
792016,"unspecified"
793223,"16 Branch"
793540,"unspecified"
793632,"18 Branch"
793910,"Trunk"
795467,"Trunk"
796214,"unspecified"
797850,"unspecified"
799413,"unspecified"
800149,"unspecified"
800168,"Trunk"
801036,"Trunk"
801439,"unspecified"
802128,"unspecified"
802332,"unspecified"
802525,"Trunk"
803330,"Trunk"
803570,"unspecified"
803737,"Trunk"
804012,"17 Branch"
804081,"Trunk"
804223,"19 Branch"
804269,"unspecified"
804392,"unspecified"
805395,"16 Branch"
805631,"unspecified"
806266,"unspecified"
806316,"23 Branch"
807673,"17 Branch"
808414,"Trunk"
808462,"17 Branch"
809037,"unspecified"
809432,"18 Branch"
809805,"19 Branch"
810650,"unspecified"
811134,"17 Branch"
812464,"17 Branch"
812694,"unspecified"
813643,"20 Branch"
814680,"17 Branch"
815973,"Trunk"
817003,"Trunk"
818759,"unspecified"
820607,"Trunk"
820611,"Trunk"
820697,"unspecified"
820700,"unspecified"
820880,"unspecified"
822180,"18 Branch"
822451,"unspecified"
823563,"18 Branch"
824158,"Trunk"
824478,"20 Branch"
826742,"unspecified"
826964,"Trunk"
826991,"unspecified"
827374,"18 Branch"
827747,"unspecified"
827883,"17 Branch"
828087,"unspecified"
828148,"18 Branch"
828794,"18 Branch"
829806,"unspecified"
830808,"17 Branch"
832913,"unspecified"
832937,"Trunk"
833207,"Trunk"
833335,"18 Branch"
833727,"18 Branch"
834781,"19 Branch"
835086,"19 Branch"
836732,"Trunk"
837195,"unspecified"
838131,"Trunk"
838162,"20 Branch"
838964,"Trunk"
839414,"18 Branch"
839850,"18 Branch"
840125,"unspecified"
840395,"Trunk"
840411,"17 Branch"
840730,"Trunk"
841437,"unspecified"
841495,"Trunk"
842280,"unspecified"
843218,"19 Branch"
843321,"19 Branch"
843699,"19 Branch"
844038,"unspecified"
844265,"19 Branch"
844453,"unspecified"
844604,"Trunk"
846048,"Trunk"
846745,"20 Branch"
847049,"unspecified"
847089,"19 Branch"
847863,"Trunk"
848032,"unspecified"
849323,"19 Branch"
849513,"unspecified"
850540,"unspecified"
851031,"Trunk"
